alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,6909,4893,2016,1916,100,70.820669,27.731944,1.447387,3,13,16,5.185804,22
0.027500,8737,7035,1702,1602,100,80.519629,18.335813,1.144558,3,12,16,5.070537,23
0.025000,18126,16058,2068,1968,100,88.590974,10.857332,0.551694,3,12,15,4.810976,23
0.022500,35793,33585,2208,2108,100,93.831196,5.889420,0.279384,3,11,14,4.626186,23
0.020000,87056,84513,2543,2443,100,97.078892,2.806240,0.114869,3,11,15,4.618502,23
0.017500,193608,191201,2407,2307,100,98.756766,1.191583,0.051651,3,11,15,4.664066,23
0.015000,498893,496529,2364,2264,100,99.526151,0.453805,0.020044,3,11,14,4.731007,23
0.012500,1452338,1450092,2246,2146,100,99.845353,0.147762,0.006885,4,11,15,5.021435,23
0.010000,6273100,6270373,2727,2627,100,99.956529,0.041877,0.001594,4,12,15,5.187667,23
0.007500,10000000,9999142,858,828,30,99.991420,0.008280,0.000300,4,12,15,5.091787,22
0.005000,10000000,9999861,139,133,6,99.998610,0.001330,0.000060,3,9,12,4.466165,15
