result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_decoded_clean_without_ml_invocation,frames_with_ml_invocation,frames_with_applied_ml_escape,frames_with_ml_invocation_no_applied_escape,frames_with_ml_invocation_decoded_clean,applied_ml_escape_frame_rate_pct,total_stagnation_events,total_ml_predict_calls,total_applied_ml_escape_actions
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.070000,0.070000,0.004000,0.002500,110,10,2,108,108,0,8,100.000000,230,3465,3005
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.067500,0.070000,0.004000,0.002500,111,11,2,109,109,0,9,100.000000,172,3459,2997
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.065000,0.070000,0.004000,0.002500,121,21,5,116,116,0,16,100.000000,180,3620,3111
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.062500,0.070000,0.004000,0.002500,131,31,7,124,124,0,24,100.000000,190,3782,3215
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.060000,0.070000,0.004000,0.002500,170,70,23,147,147,0,47,100.000000,245,4023,3432
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.057500,0.070000,0.004000,0.002500,190,90,41,149,149,0,49,100.000000,197,4036,3381
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.055000,0.070000,0.004000,0.002500,221,121,48,173,173,0,73,100.000000,228,4442,3702
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.052500,0.070000,0.004000,0.002500,289,189,95,194,194,0,94,100.000000,227,4746,3935
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.050000,0.070000,0.004000,0.002500,442,342,153,289,289,0,189,100.000000,255,5865,4876
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.047500,0.070000,0.004000,0.002500,562,462,249,313,313,0,213,100.000000,234,6197,5082
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.045000,0.070000,0.004000,0.002500,774,674,408,366,366,0,266,100.000000,244,6379,5271
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.042500,0.070000,0.004000,0.002500,1375,1275,845,530,530,0,430,100.000000,320,7921,6478
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.040000,0.070000,0.004000,0.002500,1825,1725,1237,588,588,0,488,100.000000,326,8109,6721
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.037500,0.070000,0.004000,0.002500,3333,3233,2480,853,853,0,753,100.000000,366,10159,8241
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.035000,0.070000,0.004000,0.002500,5649,5549,4619,1030,1030,0,930,100.000000,423,10839,8711
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.032500,0.070000,0.004000,0.002500,10795,10695,9408,1387,1387,0,1287,100.000000,573,12906,10369
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.030000,0.070000,0.004000,0.002500,16452,16352,14977,1475,1475,0,1375,100.000000,413,12349,9910
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.027500,0.070000,0.004000,0.002500,33481,33381,31586,1895,1895,0,1795,100.000000,410,14073,11279
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.025000,0.070000,0.004000,0.002500,58529,58429,56444,2085,2085,0,1985,100.000000,491,13668,11053
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.022500,0.070000,0.004000,0.002500,123705,123605,121152,2553,2553,0,2453,100.000000,470,15531,12611
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.020000,0.070000,0.004000,0.002500,248419,248319,245588,2831,2831,0,2731,100.000000,358,14974,12270
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.017500,0.070000,0.004000,0.002500,538513,538413,535597,2916,2916,0,2816,100.000000,359,13882,11370
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.015000,0.070000,0.004000,0.002500,1399888,1399788,1396535,3353,3353,0,3253,100.000000,315,14141,11762
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.012500,0.070000,0.004000,0.002500,3679134,3679034,3675804,3330,3330,0,3230,100.000000,212,12447,10458
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.010000,0.070000,0.004000,0.002500,10000000,9999902,9997092,2908,2908,0,2810,100.000000,125,10174,8699
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.007500,0.070000,0.004000,0.002500,10000000,9999982,9999279,721,721,0,703,100.000000,15,2146,1841
results/IRISC_P_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.005000,0.070000,0.004000,0.002500,10000000,9999995,9999897,103,103,0,98,100.000000,2,345,307
